,Season,Player,Liga_Goals,Liga_Asts,Liga_Aps,Liga_Mins,CL_Goals,CL_Asts,CL_Aps,CL_Mins,All_Goals,All_Asts,All_Aps,Liga_GPM,CL_GPM,All_GPM,Liga_APM,CL_APM,All_APM
0,2017-18,Messi,34,12,36,2996,6,2,10,783,40,14,46,0.9444444444444444,0.6,0.8695652173913043,0.3333333333333333,0.2,0.30434782608695654
1,2017-18,Ronaldo,26,5,27,2297,15,3,13,1170,41,8,40,0.9629629629629629,1.1538461538461537,1.025,0.18518518518518517,0.23076923076923078,0.2
2,2016-17,Messi,37,9,34,2832,11,2,9,810,48,11,43,1.088235294117647,1.2222222222222223,1.1162790697674418,0.2647058823529412,0.2222222222222222,0.2558139534883721
3,2016-17,Ronaldo,25,6,29,2544,12,5,13,1200,37,11,42,0.8620689655172413,0.9230769230769231,0.8809523809523809,0.20689655172413793,0.38461538461538464,0.2619047619047619
4,2015-16,Messi,26,16,33,2729,6,1,7,630,32,17,40,0.7878787878787878,0.8571428571428571,0.8,0.48484848484848486,0.14285714285714285,0.425
5,2015-16,Ronaldo,35,11,36,3184,16,4,12,1109,51,15,48,0.9722222222222222,1.3333333333333333,1.0625,0.3055555555555556,0.3333333333333333,0.3125
6,2014-15,Messi,43,21,38,3375,10,6,13,1145,53,27,51,1.131578947368421,0.7692307692307693,1.0392156862745099,0.5526315789473685,0.46153846153846156,0.5294117647058824
7,2014-15,Ronaldo,48,16,35,3096,10,4,12,1064,58,20,47,1.3714285714285714,0.8333333333333334,1.2340425531914894,0.45714285714285713,0.3333333333333333,0.425531914893617
8,2013-14,Messi,28,12,31,2498,8,1,7,630,36,13,38,0.9032258064516129,1.1428571428571428,0.9473684210526315,0.3870967741935484,0.14285714285714285,0.34210526315789475
9,2013-14,Ronaldo,31,11,30,2537,17,6,11,991,48,17,41,1.0333333333333334,1.5454545454545454,1.170731707317073,0.36666666666666664,0.5454545454545454,0.4146341463414634
10,2012-13,Messi,46,14,32,2629,8,3,11,827,54,17,43,1.4375,0.7272727272727273,1.255813953488372,0.4375,0.2727272727272727,0.3953488372093023
11,2012-13,Ronaldo,34,11,34,2716,12,1,12,1080,46,12,46,1.0,1.0,1.0,0.3235294117647059,0.08333333333333333,0.2608695652173913
12,2011-12,Messi,50,20,37,3270,14,9,11,990,64,29,48,1.3513513513513513,1.2727272727272727,1.3333333333333333,0.5405405405405406,0.8181818181818182,0.6041666666666666
13,2011-12,Ronaldo,46,13,38,3353,10,4,10,930,56,17,48,1.2105263157894737,1.0,1.1666666666666667,0.34210526315789475,0.4,0.3541666666666667
14,2010-11,Messi,31,21,33,2862,12,4,13,1050,43,25,46,0.9393939393939394,0.9230769230769231,0.9347826086956522,0.6363636363636364,0.3076923076923077,0.5434782608695652
15,2010-11,Ronaldo,40,13,34,2914,6,4,12,1018,46,17,46,1.1764705882352942,0.5,1.0,0.38235294117647056,0.3333333333333333,0.3695652173913043
16,2009-10,Messi,34,13,35,2841,8,0,11,985,42,13,46,0.9714285714285714,0.7272727272727273,0.9130434782608695,0.37142857142857144,0.0,0.2826086956521739
17,2009-10,Ronaldo,26,11,29,2462,7,2,6,450,33,13,35,0.896551724137931,1.1666666666666667,0.9428571428571428,0.3793103448275862,0.3333333333333333,0.37142857142857144
