,Season,Player,Liga_Goals,Liga_Asts,Liga_Aps,Liga_Mins,CL_Goals,CL_Asts,CL_Aps,CL_Mins,All_Goals,All_Asts,All_Aps,Liga_GPM,CL_GPM,All_GPM,Liga_APM,CL_APM,All_APM
0,2017-18,Messi,34,12,36,2996,6,2,10,783,40,14,46,0.94,0.6,0.87,0.33,0.2,0.3
1,2017-18,Ronaldo,26,5,27,2297,15,3,13,1170,41,8,40,0.96,1.15,1.02,0.19,0.23,0.2
2,2016-17,Messi,37,9,34,2832,11,2,9,810,48,11,43,1.09,1.22,1.12,0.26,0.22,0.26
3,2016-17,Ronaldo,25,6,29,2544,12,5,13,1200,37,11,42,0.86,0.92,0.88,0.21,0.38,0.26
4,2015-16,Messi,26,16,33,2729,6,1,7,630,32,17,40,0.79,0.86,0.8,0.48,0.14,0.42
5,2015-16,Ronaldo,35,11,36,3184,16,4,12,1109,51,15,48,0.97,1.33,1.06,0.31,0.33,0.31
6,2014-15,Messi,43,21,38,3375,10,6,13,1145,53,27,51,1.13,0.77,1.04,0.55,0.46,0.53
7,2014-15,Ronaldo,48,16,35,3096,10,4,12,1064,58,20,47,1.37,0.83,1.23,0.46,0.33,0.43
8,2013-14,Messi,28,12,31,2498,8,1,7,630,36,13,38,0.9,1.14,0.95,0.39,0.14,0.34
9,2013-14,Ronaldo,31,11,30,2537,17,6,11,991,48,17,41,1.03,1.55,1.17,0.37,0.55,0.41
10,2012-13,Messi,46,14,32,2629,8,3,11,827,54,17,43,1.44,0.73,1.26,0.44,0.27,0.4
11,2012-13,Ronaldo,34,11,34,2716,12,1,12,1080,46,12,46,1.0,1.0,1.0,0.32,0.08,0.26
12,2011-12,Messi,50,20,37,3270,14,9,11,990,64,29,48,1.35,1.27,1.33,0.54,0.82,0.6
13,2011-12,Ronaldo,46,13,38,3353,10,4,10,930,56,17,48,1.21,1.0,1.17,0.34,0.4,0.35
14,2010-11,Messi,31,21,33,2862,12,4,13,1050,43,25,46,0.94,0.92,0.93,0.64,0.31,0.54
15,2010-11,Ronaldo,40,13,34,2914,6,4,12,1018,46,17,46,1.18,0.5,1.0,0.38,0.33,0.37
16,2009-10,Messi,34,13,35,2841,8,0,11,985,42,13,46,0.97,0.73,0.91,0.37,0.0,0.28
17,2009-10,Ronaldo,26,11,29,2462,7,2,6,450,33,13,35,0.9,1.17,0.94,0.38,0.33,0.37
