,CL_Goals,CL_Asts,CL_Aps,CL_Mins,CL_GPM,CL_APM,Season,Player
0,6,2,10,783,0.6,0.2,2017-18,Messi
1,15,3,13,1170,1.15,0.23,2017-18,Ronaldo
2,11,2,9,810,1.22,0.22,2016-17,Messi
3,12,5,13,1200,0.92,0.38,2016-17,Ronaldo
4,6,1,7,630,0.86,0.14,2015-16,Messi
5,16,4,12,1109,1.33,0.33,2015-16,Ronaldo
6,10,6,13,1145,0.77,0.46,2014-15,Messi
7,10,4,12,1064,0.83,0.33,2014-15,Ronaldo
8,8,1,7,630,1.14,0.14,2013-14,Messi
9,17,6,11,991,1.55,0.55,2013-14,Ronaldo
10,8,3,11,827,0.73,0.27,2012-13,Messi
11,12,1,12,1080,1.0,0.08,2012-13,Ronaldo
12,14,9,11,990,1.27,0.82,2011-12,Messi
13,10,4,10,930,1.0,0.4,2011-12,Ronaldo
14,12,4,13,1050,0.92,0.31,2010-11,Messi
15,6,4,12,1018,0.5,0.33,2010-11,Ronaldo
16,8,0,11,985,0.73,0.0,2009-10,Messi
17,7,2,6,450,1.17,0.33,2009-10,Ronaldo
